top_k,model_mean_return,model_std_return,model_sharpe,model_max_drawdown,model_final_cum,spy_mean_return,spy_std_return,spy_sharpe,spy_max_drawdown,spy_final_cum,thread_return_mean,thread_return_std,thread_sharpe_mean,thread_sharpe_std,thread_maxdd_worst,thread_finalcum_mean
5,0.026257995590105665,0.11413495071566525,0.2300609535048552,-0.2531258889608903,1.3398874790669912,0.03242882629589396,0.06935390801033148,0.4675847003545285,-0.06185743432730086,1.557359852490103,0.021516425420811433,0.02515105978177602,0.18527454771544039,0.24304804081687487,-0.397605005581215,1.315912955135658
15,0.025211806156329085,0.06719810861532215,0.37518624668857475,-0.0977253367712999,1.4067444397363835,0.03242882629589396,0.06935390801033148,0.4675847003545285,-0.06185743432730086,1.557359852490103,0.02780857509729657,0.017071633881947886,0.3171691366624442,0.1649951936430668,-0.19153600942630805,1.4367218216114315
25,0.019442100878534912,0.05049074862864349,0.3850626383289613,-0.07767357999680195,1.3101700205810176,0.03242882629589396,0.06935390801033148,0.4675847003545285,-0.06185743432730086,1.557359852490103,0.027122128036814592,0.014209196582452645,0.3289846469847007,0.13947039930527763,-0.1794832656509404,1.4195596171019031
